Fehlercode,Fehlertyp,Mögliche Ursache,Lösung
E4,Überstrom (Beschleunigung),"ACC-Zeit zu kurz, Last zu groß, Start bei drehendem Motor, Erdschluss","ACC-Zeit erhöhen, Last prüfen, Speed Tracking (P01.00) nutzen"
E5,Überstrom (Verzögerung),"DEC-Zeit zu kurz, Last zu groß, Hardwarefehler","DEC-Zeit erhöhen, Bremswiderstand prüfen"
E6,Überstrom (Konstante Fahrt),"Plötzliche Laständerung, Netzspannung zu niedrig, Hardwarefehler","Last prüfen, Netzspannung stabilisieren, VFD-Leistung prüfen"
E7,Überspannung (Beschleunigung),"ACC-Zeit zu kurz, Netzspannung zu hoch, Last speist Energie zurück","ACC-Zeit erhöhen, Netzspannung prüfen, Overvoltage-Schutz (P11.03)"
E8,Überspannung (Verzögerung),"DEC-Zeit zu kurz, Lastenergie zu hoch (Generatorbetrieb)","DEC-Zeit erhöhen, Bremsmodul/Widerstand installieren"
E9,Überspannung (Konstante Fahrt),"Netzspannung zu hoch, Last treibt Motor an","Netzspannung prüfen, Bremswiderstand installieren"
E10,Unterspannung DC-Bus,"Netzspannung zu niedrig, Schützfehler, Phase fehlt","Eingangsspannung prüfen, Kabelverbindungen prüfen"
E11,Motor Überlast,"Motor-Nennstrom falsch eingestellt, Last blockiert oder springt","Motorparameter prüfen, Drehmoment-Boost (Torque Boost) anpassen"
E12,VFD Überlast,"Zu schnelle Beschleunigung, Motorneustart während Rotation","ACC-Zeit erhöhen, Neustart vermeiden, stärkeren VFD wählen"
E13,Eingangsphasenfehler,"Phase L1, L2 oder L3 fehlt oder schwankt stark","Zuleitung prüfen, Schrauben an Klemmen festziehen"
E14,Ausgangsphasenfehler,"Motorkabel unterbrochen, UVW Phase fehlt, Last asymmetrisch","Motorkabel und Motorwicklung prüfen"
E16,Überhitzung Modul,"Luftkanal blockiert, Lüfter defekt, Umgebung zu heiß","Lüfter reinigen/ersetzen, Kühlung verbessern, Last reduzieren"
E17,Externer Fehler,"Signal an DI-Terminal (External Fault) aktiv","Externe Geräte und DI-Konfiguration prüfen"
E18,Modbus / Modbus TCP Fehler,"Falsche Baudrate, falsche Adresse, EMV-Störungen","Kommunikationseinstellungen prüfen, geschirmte Kabel nutzen"
E19,Stromerkennungsfehler,"Motorisolation defekt, Sensorfehler","Motor abklemmen und testen, Service kontaktieren"
E20,Autotuning Fehler,"Motorparameter passen nicht zum VFD, Timeout","Motorparameter prüfen, Tuning ohne Last wiederholen"
E21,EEPROM Fehler,"Lese-/Schreibfehler im Steuerparameter-Speicher","STOP/RST drücken, ggf. Steuerkarte tauschen"
E22,PID Feedback Offline,"Feedback-Signalquelle verschwunden","PID-Sensorkabel und Signalquelle prüfen"
E23,Bremsmodul Fehler,"Bremsschaltung defekt, Widerstandswert zu klein","Bremsmodul/Widerstand prüfen, Widerstandswert erhöhen"
E24,Laufzeit erreicht,"Voreingestellte Wartungszeit abgelaufen","Service kontaktieren (Reset der Laufzeit erforderlich)"
